Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI
"P Barros, A Tanevska, F Cruz, A Sciutti"	Moody Learners--Explaining Competitive Behaviour of Reinforcement Learning Agents	2020	arXiv preprint arXiv:2007.16045	arxiv.org	https://arxiv.org/abs/2007.16045	"https://scholar.google.com/scholar?cites=9323643233750280833&as_sdt=2005&sciodt=0,5&hl=en"	117	03/12/2020 13:53		
"Y Liu, B Logan, N Liu, Z Xu, J Tang…"	Deep reinforcement learning for dynamic treatment regimes on medical registry data	2017	2017 IEEE International …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/8031178/	"https://scholar.google.com/scholar?cites=16836692297620712765&as_sdt=2005&sciodt=0,5&hl=en"	118	03/12/2020 13:53		
"AS Heller, CEC Ezie, AR Otto, KR Timpano"	Model-based learning and individual differences in depression: The moderating role of stress	2018	Behaviour research and …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0005796718301426	"https://scholar.google.com/scholar?cites=6143929136961775131&as_sdt=2005&sciodt=0,5&hl=en"	119	03/12/2020 13:53	HTML	
"P Kumar, F Goer, L Murray, DG Dillon…"	Impaired reward prediction error encoding and striatal-midbrain connectivity in depression	2018	…	nature.com	https://www.nature.com/articles/s41386-018-0032-x	"https://scholar.google.com/scholar?cites=3646959200997019297&as_sdt=2005&sciodt=0,5&hl=en"	120	03/12/2020 13:53	HTML	
"A Skatova, PA Chan, ND Daw"	Extraversion differentiates between model-based and model-free strategies in a reinforcement learning task	2013	Frontiers in Human Neuroscience	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fnhum.2013.00525/full	"https://scholar.google.com/scholar?cites=3084816794458374847&as_sdt=2005&sciodt=0,5&hl=en"	121	03/12/2020 13:53	HTML	
"W Bao, X Liu"	Multi-agent deep reinforcement learning for liquidation strategy analysis	2019	arXiv preprint arXiv:1906.11046	arxiv.org	https://arxiv.org/abs/1906.11046	"https://scholar.google.com/scholar?cites=14664594560691752873&as_sdt=2005&sciodt=0,5&hl=en"	122	03/12/2020 13:53		
"JW Kanen, KD Ersche, NA Fineberg, TW Robbins…"	Computational modelling reveals contrasting effects on reinforcement learning and cognitive flexibility in stimulant use disorder and obsessive-compulsive …	2019	…	Springer	https://link.springer.com/article/10.1007/s00213-019-05325-w	"https://scholar.google.com/scholar?cites=14986116353593247002&as_sdt=2005&sciodt=0,5&hl=en"	123	03/12/2020 13:53	HTML	
"AM Letkiewicz, AL Cochran, JM Cisler"	Frontoparietal network activity during model-based reinforcement learning updates is reduced among adolescents with severe sexual abuse	2020	Journal of psychiatric research	Elsevier	https://www.sciencedirect.com/science/article/pii/S0022395620310670		124	03/12/2020 13:53	HTML	
"KJ Friston, J Daunizeau, SJ Kiebel"	Reinforcement learning or active inference?	2009	PloS one	journals.plos.org	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0006421	"https://scholar.google.com/scholar?cites=10310511357381526364&as_sdt=2005&sciodt=0,5&hl=en"	125	03/12/2020 13:53	HTML	
"E Vasilaki, N Frémaux, R Urbanczik, W Senn…"	Spike-based reinforcement learning in continuous state and action space: when policy gradient methods fail	2009	PLoS Comput …	journals.plos.org	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1000586	"https://scholar.google.com/scholar?cites=15274379594197890717&as_sdt=2005&sciodt=0,5&hl=en"	126	03/12/2020 13:53	HTML	
"AY Dombrovski, K Szanto, L Clark…"	Corticostriatothalamic reward prediction error signals and executive control in late-life depression	2015	Psychological …	ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4380546/	"https://scholar.google.com/scholar?cites=2403987196991533291&as_sdt=2005&sciodt=0,5&hl=en"	127	03/12/2020 13:53	HTML	
"K Amemori, LG Gibb, AM Graybiel"	Shifting responsibly: the importance of striatal modularity to reinforcement learning in uncertain environments	2011	Frontiers in human neuroscience	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fnhum.2011.00047/full	"https://scholar.google.com/scholar?cites=8202243958178608435&as_sdt=2005&sciodt=0,5&hl=en"	128	03/12/2020 13:53	HTML	
"W Dabney, Z Kurth-Nelson, N Uchida, CK Starkweather…"	A distributional code for value in dopamine-based reinforcement learning	2020	Nature	nature.com	https://www.nature.com/articles/s41586-019-1924-6?fbclid=IwAR3c1dLc9-puvMAGS2lURZygNEKpfhAyLChl2DDT_pJOf9rG3sWbFOKrZ8A	"https://scholar.google.com/scholar?cites=15064353150904224818&as_sdt=2005&sciodt=0,5&hl=en"	129	03/12/2020 13:53		
"PR Roelfsema, A Ooyen"	Attention-gated reinforcement learning of internal representations for classification	2005	Neural computation	MIT Press	https://www.mitpressjournals.org/doi/abs/10.1162/0899766054615699	"https://scholar.google.com/scholar?cites=8519700173543148627&as_sdt=2005&sciodt=0,5&hl=en"	130	03/12/2020 13:53		
"JA Brewer, A Roy, A Deluty, T Liu, EA Hoge"	Can mindfulness mechanistically target worry to improve sleep disturbances? Theory and study protocol for app-based anxiety program.	2020	Health Psychology	psycnet.apa.org	https://psycnet.apa.org/record/2020-60656-006	"https://scholar.google.com/scholar?cites=8644283669274005938&as_sdt=2005&sciodt=0,5&hl=en"	131	03/12/2020 13:53		
"S Zorowitz, I Momennejad, ND Daw"	"Anxiety, avoidance, and sequential evaluation"	2020	Computational Psychiatry	MIT Press	https://www.mitpressjournals.org/doi/abs/10.1162/cpsy_a_00026	"https://scholar.google.com/scholar?cites=13574301468594050780&as_sdt=2005&sciodt=0,5&hl=en"	132	03/12/2020 13:53		
K Doya	Complementary roles of basal ganglia and cerebellum in learning and motor control	2000	Current opinion in neurobiology	Elsevier	https://www.sciencedirect.com/science/article/pii/S0959438800001537	"https://scholar.google.com/scholar?cites=9924586073718178045&as_sdt=2005&sciodt=0,5&hl=en"	133	03/12/2020 13:53	HTML	
"J Broekens, E Jacobs, CM Jonker"	"A reinforcement learning model of joy, distress, hope and fear"	2015	Connection Science	Taylor & Francis	https://www.tandfonline.com/doi/abs/10.1080/09540091.2015.1031081	"https://scholar.google.com/scholar?cites=16866539002477272236&as_sdt=2005&sciodt=0,5&hl=en"	134	03/12/2020 13:53		
"G Viejo, M Khamassi, A Brovelli…"	Modeling choice and reaction time during arbitrary visuomotor learning through the coordination of adaptive working memory and reinforcement learning	2015	Frontiers in behavioral …	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fnbeh.2015.00225/full	"https://scholar.google.com/scholar?cites=4992689070929864507&as_sdt=2005&sciodt=0,5&hl=en"	135	03/12/2020 13:53	HTML	
MT Treadway	The neurobiology of motivational deficits in depression—an update on candidate pathomechanisms	2015	Behavioral Neuroscience of Motivation	Springer	https://link.springer.com/chapter/10.1007/7854_2015_400	"https://scholar.google.com/scholar?cites=10721892788029587962&as_sdt=2005&sciodt=0,5&hl=en"	136	03/12/2020 13:53		
"B Lin, D Bouneffouf, G Cecchi"	Split Q learning: reinforcement learning with two-stream rewards	2019	arXiv preprint arXiv:1906.12350	arxiv.org	https://arxiv.org/abs/1906.12350	"https://scholar.google.com/scholar?cites=12406356167900221313&as_sdt=2005&sciodt=0,5&hl=en"	137	03/12/2020 13:53		
"G Lefebvre, M Lebreton, F Meyniel…"	Behavioural and neural characterization of optimistic reinforcement learning	2017	Nature Human …	nature.com	https://www.nature.com/articles/s41562-017-0067	"https://scholar.google.com/scholar?cites=13856642210206415610&as_sdt=2005&sciodt=0,5&hl=en"	138	03/12/2020 13:53	HTML	
"C Kaplanis, M Shanahan, C Clopath"	Continual reinforcement learning with complex synapses	2018	arXiv preprint arXiv:1802.07239	arxiv.org	https://arxiv.org/abs/1802.07239	"https://scholar.google.com/scholar?cites=9116708688187603044&as_sdt=2005&sciodt=0,5&hl=en"	139	03/12/2020 13:53		
"J Cockburn, AGE Collins, MJ Frank"	A reinforcement learning mechanism responsible for the valuation of free choice	2014	Neuron	Elsevier	https://www.sciencedirect.com/science/article/pii/S0896627314005819	"https://scholar.google.com/scholar?cites=2453625977322580682&as_sdt=2005&sciodt=0,5&hl=en"	140	03/12/2020 13:53	HTML	
"P Smittenaar, G Prichard, THB FitzGerald…"	Transcranial direct current stimulation of right dorsolateral prefrontal cortex does not affect model-based or model-free reinforcement learning in humans	2014	PloS one	journals.plos.org	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0086850	"https://scholar.google.com/scholar?cites=17244314994482686181&as_sdt=2005&sciodt=0,5&hl=en"	141	03/12/2020 13:53	HTML	
"M Solomon, AC Smith, MJ Frank, S Ly…"	Probabilistic reinforcement learning in adults with autism spectrum disorders	2011	Autism …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/aur.177	"https://scholar.google.com/scholar?cites=16281290476720193813&as_sdt=2005&sciodt=0,5&hl=en"	142	03/12/2020 13:53		
"D Baras, R Meir"	"Reinforcement learning, spike-time-dependent plasticity, and the BCM rule"	2007	Neural Computation	MIT Press	https://www.mitpressjournals.org/doi/abs/10.1162/neco.2007.19.8.2245	"https://scholar.google.com/scholar?cites=8451010681883296012&as_sdt=2005&sciodt=0,5&hl=en"	143	03/12/2020 13:53		
MP Paulus	"Driven by pain, not gain: Computational approaches to aversion-related decision making in psychiatry"	2020	Biological Psychiatry	Elsevier	https://www.sciencedirect.com/science/article/pii/S0006322319316658	"https://scholar.google.com/scholar?cites=10055514848429571146&as_sdt=2005&sciodt=0,5&hl=en"	144	03/12/2020 13:53	HTML	
"Z Zhang, Z Cheng, Z Lin, C Nie…"	A neural network model for the orbitofrontal cortex and task space acquisition during reinforcement learning	2018	PLOS Computational …	journals.plos.org	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005925&rev=2	"https://scholar.google.com/scholar?cites=13955585659508525187&as_sdt=2005&sciodt=0,5&hl=en"	145	03/12/2020 13:53	HTML	
B Huebner	"1.2 Implicit Bias, Reinforcement Learning, and Scaffolded Moral Cognition"	2016		faculty.georgetown.edu	http://faculty.georgetown.edu/lbh24/BLSbias.pdf	"https://scholar.google.com/scholar?cites=8466266282197786230&as_sdt=2005&sciodt=0,5&hl=en"	146	03/12/2020 13:53	PDF	
K Katahira	The relation between reinforcement learning parameters and the influence of reinforcement history on choice behavior	2015	Journal of Mathematical Psychology	Elsevier	https://www.sciencedirect.com/science/article/pii/S0022249615000218	"https://scholar.google.com/scholar?cites=2782049438564454819&as_sdt=2005&sciodt=0,5&hl=en"	147	03/12/2020 13:53	HTML	
"T Chen, W Su"	Indirect customer-to-customer energy trading with reinforcement learning	2018	IEEE Transactions on Smart Grid	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/8412581/	"https://scholar.google.com/scholar?cites=13095731655304947856&as_sdt=2005&sciodt=0,5&hl=en"	148	03/12/2020 13:53		
"SA Neymotin, GL Chadderdon, CC Kerr, JT Francis…"	Reinforcement learning of two-joint virtual arm reaching in a computer model of sensorimotor cortex	2013	Neural …	MIT Press	https://www.mitpressjournals.org/doi/abs/10.1162/NECO_a_00521	"https://scholar.google.com/scholar?cites=6753261280330575008&as_sdt=2005&sciodt=0,5&hl=en"	149	03/12/2020 13:53		
"SJ Bishop, C Gagne"	"Anxiety, depression, and decision making: a computational perspective"	2018	Annual review of neuroscience	annualreviews.org	https://www.annualreviews.org/eprint/GFmWhAHQayBykkuTzZGK/full/10.1146/annurev-neuro-080317-062007	"https://scholar.google.com/scholar?cites=3353353652437723301&as_sdt=2005&sciodt=0,5&hl=en"	150	03/12/2020 13:53		
"DM Olvet, G Hajcak"	The effect of trial-to-trial feedback on the error-related negativity and its relationship with anxiety	2009	"Cognitive, Affective, & Behavioral Neuroscience"	Springer	https://link.springer.com/article/10.3758/CABN.9.4.427	"https://scholar.google.com/scholar?cites=6269118338610299195&as_sdt=2005&sciodt=0,5&hl=en"	151	03/12/2020 13:53		
"A Toyama, K Katahira, H Ohira"	Reinforcement learning with parsimonious computation and a forgetting process	2019	Frontiers in human neuroscience	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fnhum.2019.00153/full	"https://scholar.google.com/scholar?cites=10868318365561002731&as_sdt=2005&sciodt=0,5&hl=en"	152	03/12/2020 13:53	HTML	
"T Shindou, M Shindou, S Watanabe…"	A silent eligibility trace enables dopamine?dependent synaptic plasticity for reinforcement learning in the mouse striatum	2019	European Journal of …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1111/ejn.13921	"https://scholar.google.com/scholar?cites=17193036186905720876&as_sdt=2005&sciodt=0,5&hl=en"	153	03/12/2020 13:53		
"L Wang, W Zhang, X He, H Zha"	Supervised reinforcement learning with recurrent neural network for dynamic treatment recommendation	2018	Proceedings of the 24th ACM SIGKDD …	dl.acm.org	https://dl.acm.org/doi/abs/10.1145/3219819.3219961	"https://scholar.google.com/scholar?cites=17267038105575681242&as_sdt=2005&sciodt=0,5&hl=en"	154	03/12/2020 13:53		
"EH Patzelt, W Kool, AJ Millner, SJ Gershman"	Incentives boost model-based control across a range of severity on several psychiatric constructs	2019	Biological psychiatry	Elsevier	https://www.sciencedirect.com/science/article/pii/S0006322318316329	"https://scholar.google.com/scholar?cites=8287036667149930426&as_sdt=2005&sciodt=0,5&hl=en"	155	03/12/2020 13:53	HTML	
"IV Serban, C Sankar, M Germain, S Zhang…"	A deep reinforcement learning chatbot	2017	arXiv preprint arXiv …	arxiv.org	https://arxiv.org/abs/1709.02349	"https://scholar.google.com/scholar?cites=13544493882042939542&as_sdt=2005&sciodt=0,5&hl=en"	156	03/12/2020 13:53		
"SF White, M Geraci, E Lewis, J Leshin…"	Prediction error representation in individuals with generalized anxiety disorder during passive avoidance	2017	American Journal of …	Am Psychiatric Assoc	https://ajp.psychiatryonline.org/doi/abs/10.1176/appi.ajp.2016.15111410	"https://scholar.google.com/scholar?cites=4737270252203044201&as_sdt=2005&sciodt=0,5&hl=en"	157	03/12/2020 13:53		
"LE Hunter, EA Meer, CM Gillan, M Hsu, ND Daw"	Excessive deliberation in social anxiety	2019	bioRxiv	biorxiv.org	https://www.biorxiv.org/content/10.1101/522433v1.abstract	"https://scholar.google.com/scholar?cites=13210384012309804627&as_sdt=2005&sciodt=0,5&hl=en"	158	03/12/2020 13:53		
"Z Ning, K Zhang, X Wang, MS Obaidat…"	Joint computing and caching in 5G-envisioned Internet of vehicles: A deep reinforcement learning-based traffic control system	2020	IEEE Transactions …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/8984310/	"https://scholar.google.com/scholar?cites=8321507612862277691&as_sdt=2005&sciodt=0,5&hl=en"	159	03/12/2020 13:53		
"K Morita, M Morishima, K Sakai, Y Kawaguchi"	Reinforcement learning: computing the temporal difference of values via distinct corticostriatal pathways	2012	Trends in neurosciences	Elsevier	https://www.sciencedirect.com/science/article/pii/S0166223612000719	"https://scholar.google.com/scholar?cites=12055919771328923070&as_sdt=2005&sciodt=0,5&hl=en"	160	03/12/2020 13:53	HTML	
V Brown	Assessing and remediating altered reinforcement learning in depression	2018		vtechworks.lib.vt.edu	https://vtechworks.lib.vt.edu/handle/10919/96227		161	03/12/2020 13:53		
"NR Lighthall, MA Gorlick, A Schoeke…"	Stress modulates reinforcement learning in younger and older adults.	2013	Psychology and …	psycnet.apa.org	https://psycnet.apa.org/doiLanding?doi=10.1037/a0029823	"https://scholar.google.com/scholar?cites=8200051384771535455&as_sdt=2005&sciodt=0,5&hl=en"	162	03/12/2020 13:53		
"B Lin, GA Cecchi, D Bouneffouf, J Reinen, I Rish"	A Story of Two Streams: Reinforcement Learning Models from Human Behavior and Neuropsychiatry.	2020	AAMAS	aaai-rlg.mlanctot.info	http://aaai-rlg.mlanctot.info/papers/AAAI20-RLG_paper_10.pdf	"https://scholar.google.com/scholar?cites=15249901474182975905&as_sdt=2005&sciodt=0,5&hl=en"	163	03/12/2020 13:53	PDF	
"VB Gradin, P Kumar, G Waiter, T Ahearn, C Stickle…"	Expected value and prediction error abnormalities in depression and schizophrenia	2011	Brain	academic.oup.com	https://academic.oup.com/brain/article-abstract/134/6/1751/370689	"https://scholar.google.com/scholar?cites=4351250382080371342&as_sdt=2005&sciodt=0,5&hl=en"	164	03/12/2020 13:53		
"I Casanueva, P Budzianowski, PH Su, N Mrkši?…"	A benchmarking environment for reinforcement learning based task oriented dialogue management	2017	arXiv preprint arXiv …	arxiv.org	https://arxiv.org/abs/1711.11023	"https://scholar.google.com/scholar?cites=7698302969227398975&as_sdt=2005&sciodt=0,5&hl=en"	165	03/12/2020 13:53		
"J Park, JY Lee, D Yoo…"	Distort-and-recover: Color enhancement using deep reinforcement learning	2018	Proceedings of the IEEE …	openaccess.thecvf.com	http://openaccess.thecvf.com/content_cvpr_2018/html/Park_Distort-and-Recover_Color_Enhancement_CVPR_2018_paper.html	"https://scholar.google.com/scholar?cites=9992349253790034946&as_sdt=2005&sciodt=0,5&hl=en"	166	03/12/2020 13:53		
"H Geugies, RJT Mocking, CA Figueroa, PFC Groot…"	Impaired reward-related learning signals in remitted unmedicated patients with recurrent depression	2019	Brain	academic.oup.com	https://academic.oup.com/brain/article-abstract/142/8/2510/5529171	"https://scholar.google.com/scholar?cites=16945611642358562160&as_sdt=2005&sciodt=0,5&hl=en"	167	03/12/2020 13:53		
"CH Wan, MC Hwang"	Value-based deep reinforcement learning for adaptive isolated intersection signal control	2018	IET Intelligent Transport Systems	IET	https://digital-library.theiet.org/content/journals/10.1049/iet-its.2018.5170	"https://scholar.google.com/scholar?cites=8015057939592560905&as_sdt=2005&sciodt=0,5&hl=en"	168	03/12/2020 13:53		
"JA Li, D Dong, Z Wei, Y Liu, Y Pan, F Nori…"	Quantum reinforcement learning during human decision-making	2020	Nature Human …	nature.com	https://www.nature.com/articles/s41562-019-0804-2	"https://scholar.google.com/scholar?cites=762463423964357227&as_sdt=2005&sciodt=0,5&hl=en"	169	03/12/2020 13:53	HTML	
"M Cella, AJ Bishara, E Medin, S Swan…"	Identifying cognitive remediation change through computational modelling—effects on reinforcement learning in schizophrenia	2014	Schizophrenia …	academic.oup.com	https://academic.oup.com/schizophreniabulletin/article-abstract/40/6/1422/1851372	"https://scholar.google.com/scholar?cites=1990310785800538098&as_sdt=2005&sciodt=0,5&hl=en"	170	03/12/2020 13:53		
"NT Franklin, MJ Frank"	A cholinergic feedback circuit to regulate striatal population uncertainty and optimize reinforcement learning	2015	Elife	elifesciences.org	https://elifesciences.org/articles/12029	"https://scholar.google.com/scholar?cites=17124653432578539247&as_sdt=2005&sciodt=0,5&hl=en"	171	03/12/2020 13:53	HTML	
"AE Kelley, SL Smith-Roe…"	Response-reinforcement learning is dependent on N-methyl-D-aspartate receptor activation in the nucleus accumbens core	1997	Proceedings of the …	National Acad Sciences	https://www.pnas.org/content/94/22/12174.short	"https://scholar.google.com/scholar?cites=1116804868013743082&as_sdt=2005&sciodt=0,5&hl=en"	172	03/12/2020 13:53		
"E Eldar, Y Niv"	Interaction between emotional state and learning underlies mood instability	2015	Nature communications	nature.com	https://www.nature.com/articles/ncomms7149	"https://scholar.google.com/scholar?cites=1764557720343919062&as_sdt=2005&sciodt=0,5&hl=en"	173	03/12/2020 13:53	HTML	
"H Steingroever, R Wetzels…"	A comparison of reinforcement learning models for the Iowa Gambling Task using parameter space partitioning	2013	The Journal of Problem …	docs.lib.purdue.edu	https://docs.lib.purdue.edu/jps/vol5/iss2/2/	"https://scholar.google.com/scholar?cites=7627928945810841391&as_sdt=2005&sciodt=0,5&hl=en"	174	03/12/2020 13:53		
"Y Ling, SA Hasan, V Datla, A Qadir…"	Diagnostic inferencing via improving clinical concept extraction with deep reinforcement learning: A preliminary study	2017	Machine Learning …	proceedings.mlr.press	http://proceedings.mlr.press/v68/ling17a.html	"https://scholar.google.com/scholar?cites=5453316344948066741&as_sdt=2005&sciodt=0,5&hl=en"	175	03/12/2020 13:53		
MS Fee	Oculomotor learning revisited: a model of reinforcement learning in the basal ganglia incorporating an efference copy of motor actions	2012	Frontiers in neural circuits	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fncir.2012.00038/full	"https://scholar.google.com/scholar?cites=12443391310798559151&as_sdt=2005&sciodt=0,5&hl=en"	176	03/12/2020 13:53	HTML	
"DR Chialvo, P Bak"	Learning from mistakes	1999	Neuroscience	Elsevier	https://www.sciencedirect.com/science/article/pii/S0306452298004722	"https://scholar.google.com/scholar?cites=10964514296215370570&as_sdt=2005&sciodt=0,5&hl=en"	177	03/12/2020 13:53	HTML	
"SM Shortreed, E Laber, DJ Lizotte, TS Stroup…"	Informing sequential clinical decision-making through reinforcement learning: an empirical study	2011	Machine learning	Springer	https://link.springer.com/content/pdf/10.1007/s10994-010-5229-0.pdf	"https://scholar.google.com/scholar?cites=10336637562529356323&as_sdt=2005&sciodt=0,5&hl=en"	178	03/12/2020 13:53	PDF	
